iter	RMSE
0	1.937798734
1	1.778576507
2	1.638725144
3	1.517341255
4	1.406241713
5	1.308715618
6	1.224971789
7	1.151892992
8	1.087379423
9	1.032907489
10	0.9837718943
11	0.9425646616
12	0.9078817949
13	0.8784888992
14	0.8538493528
15	0.832116254
16	0.8129871899
17	0.7970389609
18	0.7837719744
19	0.7726186339
20	0.7635468088
21	0.7557270257
22	0.7498265129
23	0.7438485655
24	0.7387127317
25	0.73474924
26	0.7312395345
27	0.7283967786
28	0.7253734384
29	0.7232882109
30	0.7209871643
31	0.7193092274
32	0.7178546093
33	0.7164578968
34	0.7154231101
35	0.7144219528
36	0.7136813174
37	0.7128801623
38	0.712231608
39	0.7116461598
40	0.7110917097
41	0.7105092878
42	0.7099773476
43	0.7094519304
44	0.70899488
45	0.7084739653
46	0.7081350232
47	0.7077094934
48	0.707340764
49	0.7068848459
50	0.706468451
51	0.7060279748
52	0.705772858
53	0.7053016953
54	0.704924257
55	0.7047491894
56	0.7044917832
57	0.7040587252
58	0.7038667393
59	0.7037090588
60	0.7033891447
61	0.7031002428
62	0.7027048515
63	0.7024381149
64	0.7022936119
65	0.7020188145
66	0.701823154
67	0.7016359504
68	0.701514398
69	0.7012228478
70	0.7010460393
71	0.7009273164
72	0.7006190257
73	0.7003822397
74	0.7002265677
75	0.7000772441
76	0.6999206395
77	0.6997682293
78	0.6996468624
79	0.6993858747
80	0.6992750575
81	0.6991363361
82	0.6988134677
83	0.6986805303
84	0.698540446
85	0.6983309128
86	0.6982209859
87	0.6980055928
88	0.6978615937
89	0.6976276079
90	0.6975643505
91	0.6973856326
92	0.6972290877
93	0.6970931858
94	0.6968872878
95	0.6966761284
96	0.6964433771
97	0.6963706245
98	0.6962299735
99	0.6959513826
