iter	Passed	Remaining
0	1	118
1	2	110
2	3	102
3	3	95
4	4	90
5	5	87
6	6	84
7	7	82
8	7	80
9	8	80
10	9	79
11	10	78
12	11	76
13	13	80
14	13	78
15	14	77
16	16	78
17	16	77
18	18	76
19	18	75
20	19	74
21	20	72
22	21	71
23	22	70
24	23	69
25	23	68
26	24	67
27	25	66
28	26	65
29	27	64
30	28	63
31	29	62
32	30	61
33	31	60
34	31	59
35	32	58
36	33	57
37	34	56
38	35	55
39	36	55
40	37	54
41	38	53
42	39	52
43	40	51
44	41	50
45	42	50
46	43	49
47	44	48
48	45	47
49	46	46
50	47	45
51	48	44
52	49	43
53	50	42
54	51	41
55	52	41
56	53	40
57	54	39
58	55	38
59	56	37
60	56	36
61	57	35
62	58	34
63	59	33
64	60	32
65	61	31
66	61	30
67	62	29
68	63	28
69	64	27
70	65	26
71	66	25
72	67	24
73	68	23
74	69	23
75	70	22
76	71	21
77	72	20
78	73	19
79	73	18
80	74	17
81	75	16
82	76	15
83	77	14
84	78	13
85	79	12
86	80	11
87	81	11
88	81	10
89	82	9
90	83	8
91	84	7
92	86	6
93	88	5
94	89	4
95	90	3
96	91	2
97	92	1
98	93	0
99	94	0
