iter	RMSE
0	4.789856011
1	4.405401331
2	4.064481074
3	3.76164689
4	3.483508342
5	3.252258573
6	3.032641565
7	2.836064453
8	2.673643859
9	2.520466938
10	2.387081457
11	2.26043832
12	2.151402149
13	2.057056838
14	1.981670323
15	1.905196561
16	1.840558582
17	1.787020217
18	1.744885074
19	1.706628619
20	1.668049571
21	1.642161572
22	1.612748045
23	1.585770645
24	1.56645313
25	1.54767915
26	1.534210252
27	1.51769016
28	1.50339655
29	1.492711912
30	1.482332777
31	1.47147341
32	1.461849159
33	1.452642907
34	1.442589574
35	1.432478298
36	1.426369175
37	1.417990182
38	1.411849026
39	1.407146585
40	1.402935751
41	1.397160318
42	1.392659881
43	1.387575805
44	1.383513437
45	1.377815048
46	1.372645634
47	1.36916175
48	1.36523318
49	1.362327131
50	1.359304744
51	1.355819556
52	1.353499209
53	1.350845628
54	1.348847331
55	1.346863868
56	1.343386363
57	1.341129612
58	1.338842021
59	1.336836269
60	1.334530561
61	1.332954196
62	1.331100649
63	1.329810684
64	1.327692253
65	1.326465264
66	1.325457174
67	1.324364884
68	1.323148013
69	1.322234318
70	1.321061609
71	1.320196359
72	1.318707191
73	1.317211443
74	1.31620862
75	1.315676337
76	1.314578725
77	1.313325061
78	1.312043673
79	1.311101772
80	1.310013529
81	1.309001596
82	1.308019067
83	1.306927566
84	1.305918357
85	1.30475977
86	1.304013894
87	1.302572477
88	1.301268768
89	1.300114532
90	1.299063877
91	1.297994715
92	1.296797258
93	1.295475749
94	1.29452665
95	1.293614358
96	1.292457283
97	1.291146302
98	1.290314178
99	1.28959063
