iter	Passed	Remaining
0	0	197
1	2	200
2	2	194
3	3	191
4	4	181
5	5	174
6	6	169
7	6	165
8	7	161
9	8	158
10	9	155
11	9	153
12	10	151
13	11	149
14	11	147
15	12	146
16	13	144
17	14	143
18	14	141
19	15	140
20	16	138
21	17	137
22	17	136
23	18	135
24	19	134
25	19	133
26	20	132
27	21	130
28	21	129
29	22	128
30	23	127
31	24	127
32	25	126
33	25	125
34	26	124
35	27	123
36	27	123
37	28	122
38	29	121
39	30	120
40	30	120
41	31	119
42	32	118
43	33	117
44	33	116
45	34	115
46	35	114
47	35	113
48	36	112
49	37	112
50	38	111
51	38	110
52	39	109
53	40	109
54	41	108
55	41	107
56	42	107
57	43	106
58	44	105
59	44	104
60	45	104
61	46	103
62	47	102
63	47	101
64	48	101
65	49	100
66	50	99
67	50	98
68	51	97
69	52	97
70	53	96
71	53	95
72	54	94
73	55	94
74	56	93
75	56	92
76	57	92
77	58	91
78	59	90
79	59	89
80	60	89
81	61	88
82	62	87
83	63	87
84	63	86
85	64	85
86	65	84
87	66	84
88	66	83
89	67	82
90	68	81
91	69	81
92	69	80
93	70	79
94	71	78
95	72	78
96	72	77
97	73	76
98	74	75
99	75	75
100	75	74
101	76	73
102	77	72
103	78	72
104	78	71
105	79	70
106	80	69
107	81	69
108	81	68
109	82	67
110	83	66
111	84	66
112	84	65
113	85	64
114	86	63
115	87	63
116	87	62
117	88	61
118	89	60
119	90	60
120	90	59
121	91	58
122	92	57
123	93	57
124	93	56
125	94	55
126	95	54
127	96	54
128	96	53
129	97	52
130	98	51
131	99	51
132	100	50
133	100	49
134	101	48
135	102	48
136	103	47
137	103	46
138	104	45
139	105	45
140	106	44
141	106	43
142	107	42
143	108	42
144	109	41
145	109	40
146	110	39
147	111	39
148	112	38
149	112	37
150	113	36
151	114	36
152	115	35
153	115	34
154	116	33
155	117	33
156	118	32
157	118	31
158	119	30
159	120	30
160	121	29
161	122	28
162	122	27
163	123	27
164	124	26
165	125	25
166	125	24
167	126	24
168	127	23
169	128	22
170	128	21
171	129	21
172	130	20
173	131	19
174	131	18
175	132	18
176	133	17
177	134	16
178	134	15
179	135	15
180	136	14
181	137	13
182	137	12
183	138	12
184	139	11
185	140	10
186	141	9
187	141	9
188	142	8
189	143	7
190	144	6
191	145	6
192	145	5
193	146	4
194	147	3
195	148	3
196	149	2
197	149	1
198	150	0
199	151	0
